Logged at 29/01/2026 11:28:05 AM - hello successfully login
Logged at 29/01/2026 2:35:32 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:37 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:37 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:38 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:38 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:40 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:40 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:41 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:41 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:41 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:41 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:43 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:43 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:44 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:44 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:55 PM - API: POST /api/auth/login | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:35:55 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:35:55 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:35:55 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:35:55 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:09 PM - API: DELETE /api/rentals/farmer/12 | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:09 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:10 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:17 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:17 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:19 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:19 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:27 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:27 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:33 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:33 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:36 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:36 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:36 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:36 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:38 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:38 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:38 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:38 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:42 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:42 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:44 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:44 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:55 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:36:55 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:00 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:00 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:01 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:01 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:01 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:01 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:11 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:11 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
